#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 04 14 21 50 219  5.7  7.3 99.00 99.00 99.00 999 1018.8 999.0 999.0 999.0 99.0 99.00 
2024 04 14 22 00 223  5.8  7.6 99.00 99.00 99.00 999 1018.7 999.0  22.9 999.0 99.0 99.00 
2024 04 14 22 10 224  6.5  8.1  1.41  6.25  6.04 314 1018.6  21.8  22.9  12.1 99.0 99.00 
2024 04 14 22 20 224  6.3  7.8 99.00 99.00 99.00 999 1018.5  21.8  22.9  12.7 99.0 99.00 
2024 04 14 22 30 225  6.5  8.2 99.00 99.00 99.00 999 1018.5  21.8  22.8  12.8 99.0 99.00 
2024 04 14 22 40 229  6.8  8.3  1.37  6.25  5.90 292 1018.4  21.8  22.8  12.7 99.0 99.00 
2024 04 14 22 50 228  6.8  8.5 99.00 99.00 99.00 999 1018.4  21.8  22.7  13.0 99.0 99.00 
2024 04 14 23 00 229  6.8  8.7 99.00 99.00 99.00 999 1018.5  21.9  22.7  13.3 99.0 99.00 
2024 04 14 23 10 232  6.7  8.2  1.40  6.25  5.91 317 1018.6  21.9  22.8  13.5 99.0 99.00 
2024 04 14 23 20 233  6.9  8.7 99.00 99.00 99.00 999 1018.4  21.8  22.7  13.6 99.0 99.00 
2024 04 14 23 30 235  7.2  8.7 99.00 99.00 99.00 999 1018.4  21.8  22.7  13.9 99.0 99.00 
2024 04 14 23 40 239  7.4  9.1  1.37  8.33  5.77 137 1018.5  21.8  22.5  13.8 99.0 99.00 
2024 04 14 23 50 239  7.3  9.0 99.00 99.00 99.00 999 1018.5  21.8  22.5  14.2 99.0 99.00 
2024 04 15 00 00 237  7.4  9.1 99.00 99.00 99.00 999 1018.5  21.7  22.5  14.1 99.0 99.00 
2024 04 15 00 10 239  7.3  9.0  1.43  8.33  5.69 117 1018.6  21.7  22.5  14.4 99.0 99.00 
2024 04 15 00 20 238  7.4  9.2 99.00 99.00 99.00 999 1018.6  21.8  22.5  14.4 99.0 99.00 
2024 04 15 00 30 234  7.2  9.7 99.00 99.00 99.00 999 1018.7  21.7  22.5  14.9 99.0 99.00 
2024 04 15 00 40 234  7.3  8.7  1.35  9.09  5.49 100 1018.8  21.7  22.4  14.9 99.0 99.00 
2024 04 15 00 50 236  7.5  9.0 99.00 99.00 99.00 999 1018.9  21.7  22.4  15.0 99.0 99.00 
2024 04 15 01 00 235  7.5  9.8 99.00 99.00 99.00 999 1018.9  21.7  22.3  15.2 99.0 99.00 
2024 04 15 01 10 232  7.7  9.6  1.30  7.69  5.30 140 1018.9  21.6  22.3  15.2 99.0 99.00 
2024 04 15 01 20 230  8.0  9.8 99.00 99.00 99.00 999 1018.9  21.7  22.2  15.4 99.0 99.00 
2024 04 15 01 30 230  8.0 10.1 99.00 99.00 99.00 999 1018.9  21.7  22.3  15.5 99.0 99.00 
2024 04 15 01 40 228  8.3 10.3  1.32 12.12  5.15  62 1018.9  21.7  22.2  15.4 99.0 99.00 
2024 04 15 01 50 225  8.2  9.8 99.00 99.00 99.00 999 1018.8  21.7  22.2  15.4 99.0 99.00 
2024 04 15 02 00 225  8.3 10.6 99.00 99.00 99.00 999 1018.7  21.8  22.3  15.5 99.0 99.00 
2024 04 15 02 10 227  8.3 10.7  1.35  9.09  5.01  90 1018.7  21.8  22.3  15.4 99.0 99.00 
2024 04 15 02 20 227  8.7 10.8 99.00 99.00 99.00 999 1018.7  21.8  22.3  15.1 99.0 99.00 
2024 04 15 02 30 227  9.0 11.1 99.00 99.00 99.00 999 1018.6  21.8  22.3  14.9 99.0 99.00 
2024 04 15 02 40 227  8.5 10.5  1.41  8.33  5.00 135 1018.6  21.8  22.2  15.4 99.0 99.00 
2024 04 15 02 50 227  8.8 10.8 99.00 99.00 99.00 999 1018.6  21.8  22.2  15.3 99.0 99.00 
2024 04 15 03 00 227  9.0 11.0 99.00 99.00 99.00 999 1018.5  21.8  22.1  15.3 99.0 99.00 
2024 04 15 03 10 228  8.9 11.1  1.42  9.09  5.08  87 1018.5  21.8  22.1  15.5 99.0 99.00 
2024 04 15 03 20 228  8.6 10.7 99.00 99.00 99.00 999 1018.4  21.8  22.1  15.8 99.0 99.00 
2024 04 15 03 30 229  9.0 10.6 99.00 99.00 99.00 999 1018.5  21.8  22.1  15.6 99.0 99.00 
2024 04 15 03 40 231  8.5 11.4  1.38  9.09  4.97 108 1018.4  21.8  22.0  15.8 99.0 99.00 
2024 04 15 03 50 229  8.8 10.6 99.00 99.00 99.00 999 1018.4  21.8  22.0  15.6 99.0 99.00 
2024 04 15 04 00 229  9.1 11.2 99.00 99.00 99.00 999 1018.3  21.9  22.0  15.4 99.0 99.00 
2024 04 15 04 10 229  9.2 11.5  1.43  9.09  4.84 101 1018.3  21.9  22.0  15.3 99.0 99.00 
2024 04 15 04 20 229  9.6 11.7 99.00 99.00 99.00 999 1018.3  21.9  22.1  15.3 99.0 99.00 
2024 04 15 04 30 228  9.2 11.4 99.00 99.00 99.00 999 1018.2  21.8  22.1  15.5 99.0 99.00 
2024 04 15 04 40 227  9.3 12.1  1.44  9.09  4.92 118 1018.1  21.9  22.1  15.4 99.0 99.00 
2024 04 15 04 50 227  9.6 11.9 99.00 99.00 99.00 999 1018.1  21.9  22.0  15.2 99.0 99.00 
2024 04 15 05 00 229  9.4 12.5 99.00 99.00 99.00 999 1018.1  21.9  22.1  15.5 99.0 99.00 
2024 04 15 05 10 231  9.7 11.6  1.43  9.09  4.81 110 1018.1  21.9  22.1  15.3 99.0 99.00 
2024 04 15 05 20 228  9.4 11.5 99.00 99.00 99.00 999 1018.2  21.9  22.1  15.8 99.0 99.00 
2024 04 15 05 30 225  9.0 11.2 99.00 99.00 99.00 999 1018.1  21.7  22.0  16.3 99.0 99.00 
2024 04 15 05 40 228  8.8 11.0  1.51  9.09  4.80 118 1018.1  21.6  22.0  16.2 99.0 99.00 
2024 04 15 05 50 229  9.3 11.1 99.00 99.00 99.00 999 1018.1  21.6  22.1  15.8 99.0 99.00 
2024 04 15 06 00 234  9.3 11.2 99.00 99.00 99.00 999 1018.1  21.7  22.1  16.0 99.0 99.00 
2024 04 15 06 10 234  9.2 11.3  1.54  9.09  4.82 123 1018.1  21.8  22.1  16.0 99.0 99.00 
2024 04 15 06 20 234  9.1 11.8 99.00 99.00 99.00 999 1017.9  21.8  22.1  16.1 99.0 99.00 
2024 04 15 06 30 233  9.3 11.5 99.00 99.00 99.00 999 1017.9  21.8  22.2  16.1 99.0 99.00 
